Time,Andrea Matarazzo: (State of São Paulo),Antônio Carlos: (State of São Paulo),Jilmar Tatto: (State of São Paulo),Bruno Covas: (State of São Paulo),Levy Fidelix: (State of São Paulo)
2020-11-14T23:48:00-03:00,3,1,1,18,1
2020-11-14T23:56:00-03:00,2,1,1,21,1
2020-11-15T00:04:00-03:00,2,1,1,19,1
2020-11-15T00:12:00-03:00,3,1,1,21,1
2020-11-15T00:20:00-03:00,2,1,1,17,1
2020-11-15T00:28:00-03:00,3,1,1,17,1
2020-11-15T00:36:00-03:00,3,1,2,24,1
2020-11-15T00:44:00-03:00,3,0,1,22,1
2020-11-15T00:52:00-03:00,4,1,2,18,1
2020-11-15T01:00:00-03:00,2,0,1,21,1
2020-11-15T01:08:00-03:00,4,0,1,25,2
2020-11-15T01:16:00-03:00,2,1,1,18,1
2020-11-15T01:24:00-03:00,3,0,1,17,1
2020-11-15T01:32:00-03:00,2,1,1,15,1
2020-11-15T01:40:00-03:00,1,0,1,14,1
2020-11-15T01:48:00-03:00,2,0,1,15,0
2020-11-15T01:56:00-03:00,3,0,1,17,1
2020-11-15T02:04:00-03:00,1,0,1,15,0
2020-11-15T02:12:00-03:00,3,0,1,18,1
2020-11-15T02:20:00-03:00,3,0,1,16,1
2020-11-15T02:28:00-03:00,2,0,1,11,1
2020-11-15T02:36:00-03:00,3,0,1,14,1
2020-11-15T02:44:00-03:00,2,1,1,17,1
2020-11-15T02:52:00-03:00,2,0,1,14,1
2020-11-15T03:00:00-03:00,2,0,1,13,1
2020-11-15T03:08:00-03:00,3,1,1,9,1
2020-11-15T03:16:00-03:00,1,0,1,16,1
2020-11-15T03:24:00-03:00,2,0,1,9,0
2020-11-15T03:32:00-03:00,2,1,1,11,1
2020-11-15T03:40:00-03:00,1,1,0,12,1
2020-11-15T03:48:00-03:00,0,0,1,18,0
2020-11-15T03:56:00-03:00,3,0,0,14,1
2020-11-15T04:04:00-03:00,1,1,1,15,0
2020-11-15T04:12:00-03:00,1,0,3,14,0
2020-11-15T04:20:00-03:00,2,0,0,14,1
2020-11-15T04:28:00-03:00,1,0,1,14,0
2020-11-15T04:36:00-03:00,2,0,1,8,1
2020-11-15T04:44:00-03:00,2,0,1,13,1
2020-11-15T04:52:00-03:00,1,0,0,12,0
2020-11-15T05:00:00-03:00,1,0,1,15,0
2020-11-15T05:08:00-03:00,1,0,3,22,0
2020-11-15T05:16:00-03:00,2,0,0,19,0
2020-11-15T05:24:00-03:00,1,1,1,34,1
2020-11-15T05:32:00-03:00,6,0,3,33,1
2020-11-15T05:40:00-03:00,1,0,1,31,2
2020-11-15T05:48:00-03:00,4,1,2,38,1
2020-11-15T05:56:00-03:00,4,0,2,30,1
2020-11-15T06:04:00-03:00,4,0,2,44,1
2020-11-15T06:12:00-03:00,2,0,1,45,1
2020-11-15T06:20:00-03:00,4,0,2,48,1
2020-11-15T06:28:00-03:00,5,1,2,52,2
2020-11-15T06:36:00-03:00,4,1,2,64,2
2020-11-15T06:44:00-03:00,7,1,1,72,2
2020-11-15T06:52:00-03:00,7,0,1,73,3
2020-11-15T07:00:00-03:00,7,1,2,75,2
2020-11-15T07:08:00-03:00,10,1,4,84,2
2020-11-15T07:16:00-03:00,6,1,4,79,2
2020-11-15T07:24:00-03:00,10,1,3,80,2
2020-11-15T07:32:00-03:00,9,1,2,79,2
2020-11-15T07:40:00-03:00,10,1,3,83,3
2020-11-15T07:48:00-03:00,6,1,4,81,2
2020-11-15T07:56:00-03:00,9,1,3,87,1
2020-11-15T08:04:00-03:00,8,0,2,77,2
2020-11-15T08:12:00-03:00,9,1,2,74,3
2020-11-15T08:20:00-03:00,9,1,3,86,1
2020-11-15T08:28:00-03:00,8,0,3,73,2
2020-11-15T08:36:00-03:00,9,0,2,83,2
2020-11-15T08:44:00-03:00,11,0,3,86,2
2020-11-15T08:52:00-03:00,9,1,3,82,3
2020-11-15T09:00:00-03:00,9,1,2,85,2
2020-11-15T09:08:00-03:00,9,1,3,91,2
2020-11-15T09:16:00-03:00,13,1,4,87,2
2020-11-15T09:24:00-03:00,10,1,2,86,2
2020-11-15T09:32:00-03:00,11,1,3,89,2
2020-11-15T09:40:00-03:00,9,1,4,98,2
2020-11-15T09:48:00-03:00,10,1,3,92,2
2020-11-15T09:56:00-03:00,10,1,3,95,2
2020-11-15T10:04:00-03:00,10,0,4,94,2
2020-11-15T10:12:00-03:00,12,1,3,96,3
2020-11-15T10:20:00-03:00,11,1,3,92,2
2020-11-15T10:28:00-03:00,12,1,3,100,3
2020-11-15T10:36:00-03:00,12,1,4,88,2
2020-11-15T10:44:00-03:00,9,1,4,94,2
2020-11-15T10:52:00-03:00,12,1,4,89,2
2020-11-15T11:00:00-03:00,10,1,3,82,4
2020-11-15T11:08:00-03:00,11,1,3,87,2
2020-11-15T11:16:00-03:00,9,1,3,82,2
2020-11-15T11:24:00-03:00,10,0,3,79,2
2020-11-15T11:32:00-03:00,11,0,3,85,2
2020-11-15T11:40:00-03:00,10,1,4,96,3
2020-11-15T11:48:00-03:00,9,1,3,81,2
2020-11-15T11:56:00-03:00,10,1,4,83,2
2020-11-15T12:04:00-03:00,8,0,2,73,2
2020-11-15T12:12:00-03:00,8,1,3,71,2
2020-11-15T12:20:00-03:00,9,1,3,75,2
2020-11-15T12:28:00-03:00,7,1,3,68,2
2020-11-15T12:36:00-03:00,8,1,2,70,2
2020-11-15T12:44:00-03:00,9,1,2,74,1
2020-11-15T12:52:00-03:00,8,0,3,64,1
2020-11-15T13:00:00-03:00,7,1,3,64,1
2020-11-15T13:08:00-03:00,6,1,2,64,1
2020-11-15T13:16:00-03:00,7,1,3,59,1
2020-11-15T13:24:00-03:00,7,1,2,58,1
2020-11-15T13:32:00-03:00,7,1,2,60,2
2020-11-15T13:40:00-03:00,5,1,2,50,2
2020-11-15T13:48:00-03:00,6,1,2,51,1
2020-11-15T13:56:00-03:00,5,1,2,52,1
2020-11-15T14:04:00-03:00,4,1,2,53,1
2020-11-15T14:12:00-03:00,5,1,3,49,1
2020-11-15T14:20:00-03:00,6,1,2,43,1
2020-11-15T14:28:00-03:00,5,1,2,45,1
2020-11-15T14:36:00-03:00,4,1,2,41,1
2020-11-15T14:44:00-03:00,5,1,2,41,1
2020-11-15T14:52:00-03:00,6,1,2,42,1
2020-11-15T15:00:00-03:00,4,1,3,42,1
2020-11-15T15:08:00-03:00,5,1,2,42,1
